scientific_name,bac_gram_stain,bac_oxygen_use,biofilm_forming,spore_forming,metabolism,metabolism_carbon_source,metabolism_electron_source,metabolism_energy,pathogen,pathogen_host,pathogen_host_human,extremophile,extremophile_type
Flavobacterium meningosepticum,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Flavobacterium meningosepticum,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Francisella philomiragia,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood CNS,No,
Francisella philomiragia,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Francisella tularensis,Negative,facultative_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood CNS,No,
Francisella tularensis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Francisella tularensis,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Francisella tularensis,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Fusarium oxysporum,Positive,aerobes,Yes,No,,,,,Yes,Plant,Respiratory_tract,No,
Fusarium proliferatum,Positive,aerobes,Yes,No,,,,,Yes,Plant,Respiratory_tract,No,
Fusarium solani,Positive,aerobes,Yes,No,,,,,Yes,Plant,Respiratory_tract,No,
Fusarium verticillioides,Positive,aerobes,Yes,No,,,,,Yes,Plant,Respiratory_tract,No,
Fusobacterium nucleatum,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract  oral_cavity,No,
Gardnerella vaginalis,gram-variable,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Gardnerella vaginalis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Gemella haemolysans,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity Respiratory_tract,No,
Giardia intestinalis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Glaesserella parasuis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Haemophilus ducreyi,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Haemophilus ducreyi,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Haemophilus influenzae,Negative,aerotolerant,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Haemophilus influenzae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Haemophilus influenzae,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Haemophilus influenzae type b,Negative,aerotolerant,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Haemophilus parainfluenzae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Haemophilus parainfluenzae,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Hafnia alvei,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Helicobacter pylori,Negative,microaerophile,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Herbaspirillum rubrisubalbicans,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Herbaspirillum seropedicae,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Histophilus somni,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Klebsiella granulomatis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Klebsiella oxytoca,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Klebsiella pneumoniae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Kocuria kristinae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Kocuria rhizophila,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus acidophilus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus casei,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus delbrueckii,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus fermentum,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus gasseri,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus helveticus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus johnsonii,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus plantarum,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus reuteri,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus rhamnosus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus sakei,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Lactobacillus salivarius,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Legionella bozemanii,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Legionella bozemanii,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella dumoffii,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Legionella dumoffii,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella hackeliae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Legionella hackeliae,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella longbeachae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Legionella longbeachae,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella longbeachae,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella micdadei,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Legionella micdadei,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella pneumophila,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Legionella pneumophila,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella pneumophila,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella pneumophila,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Legionella pneumophila serogroup 1,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Leptospira interrogans,Negative,aerotolerant,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood CNS,No,
Leptospira interrogans,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Leptothrix buccalis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Leptothrix buccalis,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Leptotrichia buccalis,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Leuconostoc mesenteroides,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Listeria innocua,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Listeria monocytogenes,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Listeria monocytogenes,Positive,facultative_anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mannheimia haemolytica,Negative,facultATIVE_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Megasphaera elsdenii,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Megasphaera elsdenii,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Megasphaera micronuciformis,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Microbacterium terregens,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Micrococcus luteus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Micrococcus luteus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Micromonospora echinospora,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Micromonospora purpurea,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Microsporidium cuniculi,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Moraxella catarrhalis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Moraxella catarrhalis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Moraxella catarrhalis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Moraxella nonliquefaciens,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Moraxella nonliquefaciens,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Moraxella osloensis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Moraxella osloensis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Morganella morganii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Mucor circinelloides,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Mucor hiemalis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Mucor piriformis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Mucor racemosus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Mycobacterium abscessus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium africanum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium avium,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium avium,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycobacterium avium complex,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium bovis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Mycobacterium chelonae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium fortuitum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium fortuitum,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycobacterium intracellulare,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium intracellulare,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycobacterium kansasii,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycobacterium kansasii,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycobacterium leprae,Positive,aerobes microaerophile,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Skin Blood CNS,No,
Mycobacterium leprae,Positive,obligate_intracellular_parasite,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycobacterium leprae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycobacterium leprae,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycobacterium marinum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Skin Blood CNS,No,
Mycobacterium smegmatis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,Yes,Psychrophile
Mycobacterium tuberculosis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,Yes,Psychrophile
Mycobacterium tuberculosis,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,Yes,Psychrophile
Mycobacterium tuberculosis,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,Yes,Psychrophile
Mycobacterium tuberculosis complex,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,Yes,Psychrophile
Mycobacterium ulcerans,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Skin Blood CNS,No,
Mycobacterium xenopi,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Mycoplasma genitalium,Positive,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Mycoplasma genitalium,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycoplasma hominis,Positive,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Mycoplasma hominis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycoplasma hominis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycoplasma pneumoniae,Positive,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Mycoplasma pneumoniae,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycoplasma pneumoniae,Negative,facultATIVE_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Mycoplasma pneumoniae,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Neisseria gonorrhoeae,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Neisseria gonorrhoeae,Negative,obligate_aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Neisseria meningitidis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Neisseria meningitidis,Negative,obligate_aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Neisseria meningitidis serogroup A,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Neurospora crassa,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Nocardia asteroides,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Nocardia brasiliensis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Nocardia farcinica,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract Blood CNS,No,
Nocardia otitidiscaviarum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Nocardia transvalensis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Ochrobactrum anthropi,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Ochrobactrum anthropi,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Ochrobactrum intermedium,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Ochrobactrum intermedium,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Ochrobactrum tritici,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Plant,Respiratory_tract,No,
Ochrobactrum tritici,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Oligella ureolytica,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital,No,
Orientia tsutsugamushi,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood CNS,No,
Orientia tsutsugamushi,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Oscilliatoria tenuis,cyanobacteria,phototroph,Yes,No,autotroph phototroph,autotroph,phototroph,,Yes,Human,Respiratory_tract,No,
Oscilliatoria tenuis,Negative,photoautotroph,Yes,No,autotroph phototroph,autotroph,phototroph,,,,,No,
Pasteurella haemolytica,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Pasteurella haemolytica,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Pasteurella multocida,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Pasteurella multocida,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Pasteurella pneumotropica,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Pasteurella pneumotropica,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Penicillium brevicompactum,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Penicillium chrysogenum,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Penicillium expansum,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Penicillium notatum,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Peptostreptococcus anaerobius,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Plesiomonas shigelloides,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Pneumocystis jirovecii,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Porphyromonas gingivalis,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Prevotella intermedia,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Prevotella melaninogenica,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Propionibacterium acnes,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Skin,No,
Propionibacterium acnes,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Proteus mirabilis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Proteus vulgaris,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Providencia rettgeri,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Providencia stuartii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Pseudomonas aeruginosa,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Pseudomonas fluorescens,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Pseudomonas mendocina,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Pseudomonas putida,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Pseudomonas stutzeri,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Ralstonia pickettii,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Ralstonia solanacearum,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Plant,Respiratory_tract,No,
Rhizobium etli,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Rhizobium leguminosarum,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Rhizobium meliloti,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Rhizopus arrhizus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Rhizopus microsporus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Rhizopus oryzae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Rhizopus stolonifer,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract,No,
Rhodococcus equi,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Rhodococcus equi,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Rickettsia prowazekii,Positive,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood CNS,No,
Rickettsia prowazekii,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Rickettsia rickettsii,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood CNS,No,
Rickettsia rickettsii,Positive,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
