scientific_name,virus_genome,virus_strand,virus_strand_sense,virus_capsid_symmetry,virus_capsid,pathogen,pathogen_host,Host_species
Avian pneumovirus,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bird
Avian reovirus,RNA,ds,Positive,Icosahedral,Naked,Yes,Animal,Bird
Avian sarcoma virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Bird
Avian spleen necrosis virus,DNA,ds,Positive,Icosahedral,Naked,Yes,Animal,Bird
Avibirnavirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bird
Avsunvivus henipavirus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Babanki virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Baculovirus,DNA,ds,Positive,Helical,Enveloped,Yes,Animal,Insect
Baguio virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Bahig virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Baio virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Bakau virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Banana bunchy top virus,DNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Banna virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Human,Human
Barley stripe mosaic virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Barley yellow dwarf virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Bat coronavirus CDPHE15,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat coronavirus HKU8,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat coronavirus HKU9,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat coronavirus MERS,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat coronavirus RD614,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat coronavirus SARSr-CoV,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat coronavirus Tylonycteris 2,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat hepatitis E virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bat
Bat influenza A virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bat
Bat influenza B virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bat
Bat influenza C virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bat
Bat lyssavirus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bat
Bat paramyxovirus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bat
Bat parvovirus,DNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bat
Bat pegivirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bat
Bat pöttelivirus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Animal,Bat
Bat poxvirus,DNA,ds,Positive,Ovoid,Enveloped,Yes,Animal,Bat
Bat rabies virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bat
Bat reovirus,RNA,ds,Positive,Icosahedral,Naked,Yes,Animal,Bat
Bat SARS-like coronavirus WIV1,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat SARS-like coronavirus WIV16,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat SARSr-CoV RaTG13,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Bat
Bat tohovirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bat
Bat totivirus,RNA,ss,Positive,Helical,Naked,Yes,Animal,Bat
Batai virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Beet curly top virus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Beet mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Bhanja virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Big Cypress virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Binjari virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Black Creek Canal virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Bluecreek virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Bluetongue virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Animal,Animal
Botambi virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Bourbon virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Bovine coronavirus,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Cattle
Bovine ephemeral fever virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Cattle
Bovine herpesvirus 1,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Animal,Cattle
Bovine leukemia virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Cattle
Bovine papillomavirus,DNA,ds,Positive,Icosahedral,Naked,Yes,Animal,Cattle
Bovine respiratory syncytial virus,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,Cattle
Bovine rhinotracheitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Cattle
Bovine viral diarrhea virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Cattle
Brambell virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Brazilian hemorrhagic fever virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Human,Human
Brazilian serogroup virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Brome mosaic virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Brucella abortus phage bv. 1,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 10,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 11,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 12,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 13,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 14,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 15,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 16,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 17,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 18,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 19,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 2,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 20,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 21,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 22,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 23,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 24,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 25,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 26,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 27,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 28,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 29,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 3,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 30,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 31,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 32,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 33,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 34,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 35,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 36,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 37,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 38,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 39,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 4,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 40,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 41,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 42,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 43,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 44,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 45,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 46,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 47,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 5,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 6,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 7,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 8,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Brucella abortus phage bv. 9,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Bunyamwera virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Cabbage leaf curl virus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Calicivirus,RNA,ss,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Cauliflower mosaic virus,DNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Cherry leaf roll virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Chikungunya virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Chlamydia trachomatis,DNA,ss,Positive,Complex,Naked,Yes,Human,Human
Citrus tristeza virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Plant,Plant
Classical swine fever virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Pig
Clover yellow vein virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Coconut cadang-cadang viroid,RNA,ss,Positive,Linear,Naked,Yes,Plant,Plant
Commelina yellow mottle virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Coronavirus,RNA,ss,Positive,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Cowpea mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Crimean-Congo hemorrhagic fever virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Cucumber mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Cymbidium mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Dasheen mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Dengue virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Double-stranded RNA virus,RNA,ds,Positive,Icosahedral,Naked,Yes,"Plant, Fungus","Plant, Fungus"
Ebola virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Echovirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Eggplant mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Encephalomyocarditis virus,RNA,ss,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Enterovirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Epstein-Barr virus,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Equine encephalitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Horse
Feline calicivirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Cat
Feline immunodeficiency virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Cat
Feline leukemia virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Cat
Foot-and-mouth disease virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Animal
Fowlpox virus,DNA,ds,Positive,Complex,Enveloped,Yes,Animal,Bird
Friendly virus,RNA,ss,Positive,Helical,Naked,No,Plant,Plant
Frog virus 3,DNA,ds,Positive,Icosahedral,Naked,Yes,Animal,Frog
Fungal totivirus,RNA,ss,Positive,Helical,Naked,Yes,Fungus,Fungus
Gammaretrovirus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Geminivirus,DNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine fanleaf virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine leafroll associated virus 3,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine rupestris stem pitting-associated virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus A,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus B,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus D,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus E,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus F,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus G,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus H,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus L,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus S,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus T,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus U,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Grapevine virus X,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Groundnut rosette virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Helicoverpa zea nudivirus,DNA,ss,Positive,Icosahedral,Naked,No,Animal,Insect
Heliothis virescens ascovirus,DNA,ds,Positive,Complex,Enveloped,Yes,Animal,Insect
Heliothis virescens nucleopolyhedrovirus,DNA,ds,Positive,Complex,Enveloped,Yes,Animal,Insect
Heliothis zea nucleopolyhedrovirus,DNA,ds,Positive,Complex,Enveloped,Yes,Animal,Insect
Hepatitis A virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Hepatitis B virus,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Hepatitis C virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Herpes simplex virus 1,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Herpes simplex virus 2,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Hibiscus chlorotic ringspot virus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Homalodisca coagulata virus 1,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Insect
Human bocavirus 1,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Human cytomegalovirus,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Human herpesvirus 6,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Human herpesvirus 7,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Human herpesvirus 8,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Human immunodeficiency virus 1,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Human papillomavirus 16,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Human respiratory syncytial virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Impatiens necrotic spot virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Infectious bursal disease virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Chicken
Infectious hematopoietic necrosis virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Fish
Infectious laryngotracheitis virus,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Animal,Chicken
Infectious pancreatic necrosis virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Fish
Infectious salmon anemia virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Animal,Fish
Influenza A virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Influenza B virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Influenza C virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Japanese encephalitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Junin virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Human,Human
Kaposi's sarcoma-associated herpesvirus,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Human,Human
Kyasanur Forest disease virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
La Crosse virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Lassa virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Lentivirus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Lettuce mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Lymphocytic choriomeningitis virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Machupo virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Human,Human
Maize chlorotic mottle virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Maize dwarf mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Malva vein clearing virus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Marburg virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Mason-Pfizer monkey virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Monkey
Mayaro virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Measles virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Melon necrotic spot virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Mengovirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Animal
Metapneumovirus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Mumps virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Murine leukemia virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Mouse
Myxoma virus,DNA,ds,Positive,Complex,Enveloped,Yes,Animal,Rabbit
Narcissus mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Newcastle disease virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Nipah virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Norwalk virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
O'nyong-nyong virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Odontoglossum ringspot virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Okra mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Oropouche virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Orthoreovirus,RNA,ds,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Pancreatic necrosis virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Fish
Papaya ringspot virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Paramyxovirus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Parvovirus B19,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Passion fruit woodiness virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Pea enation mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Peach latent mosaic viroid,RNA,ss,Positive,Linear,Naked,Yes,Plant,Plant
Peanut clump virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Penicillium chrysogenum virus,RNA,ss,Positive,Helical,Naked,No,Fungus,Fungus
Pepper mild mottle virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Peromyscus maniculatus parvovirus,DNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Mouse
Phi X 174,DNA,ss,Positive,Icosahedral,Naked,No,Bacteria,Bacterium
Phoma betae virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Phytophthora infestans virus 1,RNA,ds,Positive,Icosahedral,Naked,Yes,Fungus,Fungus
Picornavirus,RNA,ss,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Pigeon circovirus,DNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bird
Pink bollworm densovirus,DNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Insect
Plantar wart virus,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Plum pox virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Poliovirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Polyomavirus,DNA,ds,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Potato leafroll virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Potato spindle tuber viroid,RNA,ss,Positive,Linear,Naked,Yes,Plant,Plant
Potato virus A,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Potato virus X,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Potato virus Y,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Powassan virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Poxvirus,DNA,ds,Positive,Complex,Enveloped,Yes,"Human, Animal","Human, Animal"
Prochlorococcus marinus virus,DNA,ds,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Progressive pneumonia virus,RNA,ss,Positive,Helical,Enveloped,Yes,Animal,"Sheep, Goat"
Pseudorabies virus,DNA,ds,Positive,Icosahedral,Enveloped,Yes,Animal,Pig
Psittacine circovirus,DNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bird
Rabies virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Ranavirus,DNA,ds,Positive,Icosahedral,Naked,Yes,Animal,Amphibian
Raspberry bushy dwarf virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Red clover mottle virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Reovirus,RNA,ds,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Respiratory syncytial virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Rhinocerovirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Rice dwarf virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Rice tungro bacilliform virus,RNA,ds,Positive,Helical,Naked,Yes,Plant,Plant
Rice tungro spherical virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Rift Valley fever virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Rinderpest virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Cattle
Rotavirus,RNA,ds,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Rubella virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Rubeola virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Russian spring-summer encephalitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Salmon anemia virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Animal,Fish
Sarcoptes scabiei virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Mite
SARS-CoV,RNA,ss,Positive,Helical,Enveloped,Yes,Human,Human
SARS-CoV-2,RNA,ss,Positive,Helical,Enveloped,Yes,Human,Human
Satellite tobacco necrosis virus,RNA,ss,Positive,Linear,Naked,Yes,Plant,Plant
Semliki Forest virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Sendai virus,RNA,ss,Negative,Helical,Enveloped,Yes,"Human, Animal","Human, Animal"
Seroprevalence,RNA,ss,Positive,Helical,Naked,No,Plant,Plant
Severe acute respiratory syndrome coronavirus 2,RNA,ss,Positive,Helical,Enveloped,Yes,Human,Human
Sheep contagious ecthyma virus,DNA,ds,Positive,Complex,Enveloped,Yes,Animal,Sheep
Sindbis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Southern bean mosaic virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Soybean mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Spring viremia of carp virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Fish
Squash mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
St. Louis encephalitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Sugarcane mosaic virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Sunnhemp mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Tacaribe virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Tick-borne encephalitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Tobacco etch virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Tobacco leaf curl virus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Tobacco mosaic virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Tomato bushy stunt virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Tomato leaf curl virus,DNA,ss,Positive,Geminivirus,Naked,Yes,Plant,Plant
Tomato mosaic virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
