"scientific_name","taxonomy_id","entry_counts","rank","domain","virus_genome","virus_strand","virus_strand_sense","virus_capsid","virus_capsid_symmetry","pathogen","pathogen_host","volunteer_name","source","reference"
"Jingmen tick virus",1491393,3,"no_rank","Virus","RNA","ss","Positive_strand","Incongruent","Ellipsoid","Incongruent","Animal","Rami Eskelin Rida Ahmed NA","TMD","“Identification and Characterization of Jingmen Tick Virus in Rodents from Xinjiang, China.” Infection, Genetics and Evolution, vol. 84, Oct. 2020, p. 104411. www.sciencedirect.com, doi:10.1016/j.meegid.2020.104411. Yu, Zhu-Mei et al. “Identification and characterization of Jingmen tick virus in rodents from Xinjiang, China.” Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases vol. 84 (2020): 104411. doi:10.1016/j.meegid.2020.104411

Dinçer, Ender et al. “Survey and Characterization of Jingmen Tick Virus Variants.” Viruses vol. 11,11 1071. 17 Nov. 2019, doi:10.3390/v11111071 NA"
"Eptesicus serotinus papillomavirus",1495311,3,"species","Virus","DNA","ds","","Naked","Icosahedral","Yes","Animal","Jayati Mondal Jarair Tahsin Jin Hee Yoo","TMD","Papillomaviridae - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/immunology-and-microbiology/papillomaviridae. Accessed 6 Jan. 2021.

Papillomaviridae ~ ViralZone Page. https://viralzone.expasy.org/5. Accessed 6 Jan. 2021. Papillomaviridae ~ ViralZone Page. https://viralzone.expasy.org/5. Accessed 17 Jan. 2021.

Taxonomy Browser (Eptesicus Serotinus Papillomavirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1495311&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&keep=1&srchmode=1&unlock&mod=1&log_op=modifier_toggle#modif. Accessed 17 Jan. 2021. García-Pérez, Raquel, et al. “Novel Papillomaviruses in Free-Ranging Iberian Bats: No Virus–Host Co-Evolution, No Strict Host Specificity, and Hints for Recombination.” Genome Biology and Evolution, vol. 6, no. 1, Jan. 2014, pp. 94–104. DOI.org (Crossref), doi:10.1093/gbe/evt211."
"Soybean cyst nematode virus 5",1495316,2,"species","Virus","RNA","ss","Positive_strand","Enveloped","Icosahedral","Yes","Animal","Jenny Paola Díaz Landínez Maria Fe Gutierrez","TMD","Ruark, Casey L., et al. «Soybean Cyst Nematode Culture Collections and Field Populations from North Carolina and Missouri Reveal High Incidences of Infection by Viruses». PLOS ONE, vol. 12, n.o 1, ene de 2017, p. e0171514. PLoS Journals, doi:10.1371/journal.pone.0171514.

Bekal, Sadia, et al. «A Novel Flavivirus in the Soybean Cyst Nematode». Journal of General Virology, vol. 95, n.o 6, junio de 2014, pp. 1272-80. DOI.org (Crossref), doi:10.1099/vir.0.060889-0. Flaviviridae ~ ViralZone Page. https://viralzone.expasy.org/43. Accessed 12 Aug. 2020.

Ruark, Casey L., et al. “Soybean Cyst Nematode Culture Collections and Field Populations from North Carolina and Missouri Reveal High Incidences of Infection by Viruses.” PLOS ONE, vol. 12, no. 1, Jan. 2017, p. e0171514. PLoS Journals, doi:10.1371/journal.pone.0171514.

Soybean Cyst Nematode Virus 5 Strain ScV5 Polyprotein Gene, Complete Cds. May 2014. NCBI Nucleotide Database, 628817984, NCBI Nucleotide, http://www.ncbi.nlm.nih.gov/nuccore/KF726084.1."
"Mumps virus genotype H1",1496283,2,"no_rank","Virus","RNA","ss","Incongruent","Enveloped","Incongruent","Incongruent","Human","Ansh Sharma Aniqa Niha","TMD","Wang, Huiling, et al. “Molecular Characterization of Measles Viruses in China: Circulation Dynamics of the Endemic H1 Genotype from 2011 to 2017.” PLOS ONE, vol. 14, no. 6, June 2019, p. e0218782. PLoS Journals, doi:10.1371/journal.pone.0218782.

Palacios, G., et al. “Molecular Identification of Mumps Virus Genotypes from Clinical Samples: Standardized Method of Analysis.” Journal of Clinical Microbiology, vol. 43, no. 4, Apr. 2005, pp. 1869–78. PubMed Central, doi:10.1128/JCM.43.4.1869-1878.2005.

Measles and Mumps Tests: MedlinePlus Medical Test. https://medlineplus.gov/lab-tests/measles-and-mumps-tests/. Accessed 8 Aug. 2020. Palacios, G., et al. “Molecular Identification of Mumps Virus Genotypes from Clinical Samples: Standardized Method of Analysis.” Journal of Clinical Microbiology, vol. 43, no. 4, Apr. 2005, pp. 1869–78. jcm.asm.org, doi:10.1128/JCM.43.4.1869-1878.2005."
"Mumps virus genotype H2",1496284,3,"no_rank","Virus","RNA","ss","Negative_strand","Enveloped","Incongruent","Yes","Human","Aliza Katz Anastassiya Skripchenko Amina Durakovic","TMD","Palacios, G., et al. “Molecular Identification of Mumps Virus Genotypes from Clinical Samples: Standardized Method of Analysis.” Journal of Clinical Microbiology, vol. 43, no. 4, Apr. 2005, pp. 1869–78. jcm.asm.org, doi:10.1128/JCM.43.4.1869-1878.2005.

Rubin, Steven, et al. “Molecular Biology, Pathogenesis and Pathology of Mumps Virus.” The Journal of Pathology, vol. 235, no. 2, Jan. 2015, pp. 242–52. PubMed Central, doi:10.1002/path.4445.

“Paramyxovirus | Virus Family.” Encyclopedia Britannica, https://www.britannica.com/science/paramyxovirus-virus-family. Accessed 8 Sept. 2020. Paramyxoviridae ~ ViralZone Page. https://viralzone.expasy.org/556?outline=all_by_species. Accessed 14 Sept. 2020. Palacios, G., et al. “Molecular Identification of Mumps Virus Genotypes from Clinical Samples: Standardized Method of Analysis.” Journal of Clinical Microbiology, vol. 43, no. 4, Apr. 2005, pp. 1869–78. PubMed Central, doi:10.1128/JCM.43.4.1869-1878.2005.

Measles | Genetic Analysis of Measles Virus | Lab Tools | CDC. 28 Oct. 2019, https://www.cdc.gov/measles/lab-tools/genetic-analysis.html."
"Garlic virus X",150284,3,"species","Virus","RNA","ss","Positive_strand","Unknown","Unknown","Yes","Plant","Erica Aguayza Elizabeth Katanov Elizabeth Ghobrial","TMD","Song, S. I., et al. “Molecular Characterization of the Garlic Virus X Genome.” Journal of General Virology, vol. 79, no. 1, 1998, pp. 155–59. Microbiology Society Journals, doi:10.1099/0022-1317-79-1-155. Coat Protein - Garlic Virus X. https://www.uniprot.org/uniprot/O09502. Accessed 22 Nov. 2020.

Garlic Virus X. https://www.genome.jp/virushostdb/150284. Accessed 22 Nov. 2020.

Singh, Jitender, et al. “First Complete Genome Sequence of Garlic Virus X Infecting Allium Sativum- G282 from India.” Genomics, vol. 112, no. 2, Mar. 2020, pp. 1861–65. ScienceDirect, doi:10.1016/j.ygeno.2019.10.020.

Song, S. I., et al. “Molecular Characterization of the Garlic Virus X Genome.” The Journal of General Virology, vol. 79 ( Pt 1), Jan. 1998, pp. 155–59. PubMed, doi:10.1099/0022-1317-79-1-155.

---. “Molecular Characterization of the Garlic Virus X Genome.” The Journal of General Virology, vol. 79 ( Pt 1), Jan. 1998, pp. 155–59. PubMed, doi:10.1099/0022-1317-79-1-155. Song, S I et al. “Molecular characterization of the garlic virus X genome.” The Journal of general virology vol. 79 ( Pt 1) (1998): 155-9. doi:10.1099/0022-1317-79-1-155"
"Sapovirus GII.3",1503998,3,"no_rank","Virus","RNA","ss","Positive_strand","Naked","Icosahedral","Yes","Human","Daniel Iskhakov Dajana Reci Christine Kuang","TMD","Yates, Marylynn V. “Emerging Viruses.” Microbiology of Waterborne Diseases, Elsevier, 2014, pp. 529–33. DOI.org (Crossref), doi:10.1016/B978-0-12-415846-7.00029-9. Nguyen, T. A., et al. “Norovirus and Sapovirus Infections among Children with Acute Gastroenteritis in Ho Chi Minh City during 2005-2006.” Journal of Tropical Pediatrics, vol. 54, no. 2, Nov. 2007, pp. 102–13. DOI.org (Crossref), doi:10.1093/tropej/fmm096.

Oka, Tomoichiro, et al. “Comprehensive Review of Human Sapoviruses.” Clinical Microbiology Reviews, vol. 28, no. 1, Jan. 2015, pp. 32–53. cmr.asm.org, doi:10.1128/CMR.00011-14.

Sapovirus ~ ViralZone Page. https://viralzone.expasy.org/196. Accessed 30 Nov. 2020. Oka, T., Iritani, N., Okada, M., Ogawa, T., Iizuka, S., Tatsumi, C., Harada, S., Haga, K., & Doan, Y. H. (2018). First complete genome sequences of human sapovirus strains classified as gi. 3, gi. 4, gi. 6, gi. 7, and gii. 7. Genome Announcements, 6(12). https://doi.org/10.1128/genomeA.00168-18

Oka, T., Wang, Q., Katayama, K., & Saif, L. J. (2015). Comprehensive review of human sapoviruses. Clinical Microbiology Reviews, 28(1), 32–53. https://doi.org/10.1128/CMR.00011-14

Cilli, A., Luchs, A., Leal, E., Gill, D., Milagres, F. A. de P., Komninakis, S. V., Brustulin, R., Teles, M. da A. R., Lobato, M. C. A. B. S., Chagas, R. T. das, Abrão, M. de F. N. dos S., Soares, C. V. de D. A., Deng, X., Delwart, E., Sabino, E. C., Costa, A. C. da, Cilli, A., Luchs, A., Leal, E., … Costa, A. C. da. (2019). Human sapovirus GI.2 and GI.3 from children with acute gastroenteritis in northern Brazil. Memórias Do Instituto Oswaldo Cruz, 114. https://doi.org/10.1590/0074-02760180574

Mann, P., Pietsch, C., & Liebert, U. G. (2019). Genetic diversity of sapoviruses among inpatients in germany, 2008−2018. Viruses, 11(8), 726. https://doi.org/10.3390/v11080726"
"Fox fecal kobuvirus",1504547,2,"species","Virus","RNA","ss","Positive_strand","Naked","Icosahedral","Yes","Animal","Alena LeBron Alexander Forrest","TMD","Taxonomy Browser (Fox Fecal Kobuvirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1504547. Accessed 24 Aug. 2020.

Kobuvirus ~ ViralZone Page. https://viralzone.expasy.org/652?outline=all_by_species. Accessed 24 Aug. 2020. Bodewes, Rogier, et al. “Viral Metagenomic Analysis of Feces of Wild Small Carnivores.” Virology Journal, vol. 11, no. 1, Dec. 2014, p. 89. DOI.org (Crossref), doi:10.1186/1743-422X-11-89.

Picornaviridae ~ ViralZone Page. https://viralzone.expasy.org/33?outline=all_by_species. Accessed 24 Aug. 2020."
"Cyclovirus ZM32",1506566,1,"no_rank","Virus","DNA","ss","Unknown","Unknown","","Yes","Unknown","Shela Akhtar","TMD","https://www.microbiologyresearch.org/docserver/fulltext/jgv/96/2/440_vir071209.pdf?expires=1607921274&id=id&accname=guest&checksum=4AFAB9814B108043ECFD1B6DA99B84E8

Taxonomy Browser (Cyclovirus ZM32). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1506566&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 14 Dec. 2020."
"Crohivirus",1506581,3,"genus","Virus","RNA","ss","Positive_strand","Naked","Icosahedral","Yes","Animal","Alexis Mitelman Aliyah Shari Alia Codelia-Anjum","TMD","“Genus: Crohivirus - Picornaviridae - Picornavirales.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/picornavirales/w/picornaviridae/1227/genus-crohivirus. Accessed 13 Sept. 2020.

Taxonomy Browser (Crohivirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1506581&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 13 Sept. 2020. JGI GOLD | Organism. https://gold.jgi.doe.gov/organism?id=Go0332298. Accessed 10 Sept. 2020.

Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Crohivirus. Accessed 10 Sept. 2020.

Yinda, Claude Kwe, et al. “Highly Diverse Population of Picornaviridae and Other Members of the Picornavirales, in Cameroonian Fruit Bats.” BMC Genomics, vol. 18, Mar. 2017. PubMed Central, doi:10.1186/s12864-017-3632-7. Sasaki M, Orba Y, Ueno K, et al. Metagenomic analysis of the shrew enteric virome reveals novel viruses related to human stool-associated viruses. J Gen Virol. 2015;96(Pt 2):440-452. doi:10.1099/vir.0.071209-0

Taxonomy Browser (Crohivirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1506581&lvl=3&lin=f&keep=1&srchmode=1&unlock.

“Genus: Crohivirus - Picornaviridae - Picornavirales.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/picornavirales/w/picornaviridae/1227/genus-crohivirus. 

IMG. https://img.jgi.doe.gov/cgi-bin/vr/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2757320803."
"Rhabdovirus 26876",1508216,3,"species","Virus","RNA","ss","Negative_strand","Enveloped","Helical","Yes","Animal Human","Aysha Tabassum Bagtygul Dovletova Ayah Ahmad","TMD","Rhabdoviridae - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/medicine-and-dentistry/rhabdoviridae. Accessed 26 Nov. 2020.

Taxonomy Browser (Rhabdovirus 26876). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1508216&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 26 Nov. 2020. Rhabdovirus 26876 - Encyclopedia of Life. https://eol.org/pages/55420383. Accessed 29 Nov. 2020.

Ip, Hon S., et al. “Detection of Spring Viraemia of Carp Virus in Imported Amphibians Reveals an Unanticipated Foreign Animal Disease Threat.” Emerging Microbes & Infections, vol. 5, no. 1, Jan. 2016, pp. 1–7. Taylor and Francis+NEJM, doi:10.1038/emi.2016.94. Rhabdoviridae ~ ViralZone Page. https://viralzone.expasy.org/2?outline=all_by_species. Accessed 17 Jan. 2021.
Rhabdovirus 26876 Names - Encyclopedia of Life. https://eol.org/pages/55420383/names. Accessed 17 Jan. 2021.
Taxonomy Browser (Rhabdoviridae). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?p=7&id=11270. Accessed 17 Jan. 2021."
"Rhabdovirus 27676",1508218,1,"species","Virus","RNA","ss","Negative_strand","Enveloped","Unknown","Yes","Animal Plant","Shela Akhtar","TMD","Rhabdoviridae - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/medicine-and-dentistry/rhabdoviridae. Accessed 16 Nov. 2020.

Rupprecht, Charles E. “Rhabdoviruses: Rabies Virus.” Medical Microbiology, edited by Samuel Baron, 4th ed., University of Texas Medical Branch at Galveston, 1996. PubMed, http://www.ncbi.nlm.nih.gov/books/NBK8618/."
"pasivirus A2",1511785,2,"no_rank","Virus","RNA","ss","Positive_strand","Naked","Icosahedral","Incongruent","Animal","Vasila Abdumuminova Vishwashiv Emogaje","TMD","Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016). Accessed at <ftp://ftp.genome.jp/pub/db/virushostdb/virushostdb.daily.tsv> on 07 Nov 2020. 

Zaulet, Mihaela, et al. “Identification and Prevalence of Swine Pasivirus 1 in Eastern Romanian Pig Farms.” Journal of Veterinary Diagnostic Investigation, vol. 29, no. 3, May 2017, pp. 305–11. DOI.org (Crossref), doi:10.1177/1040638717696044. Boros, Ákos, et al. “Secondary Structure Analysis of Swine Pasivirus (Family Picornaviridae) RNA Reveals a Type-IV IRES and a Parechovirus-like 3’ UTR Organization.” Archives of Virology, vol. 160, no. 5, May 2015, pp. 1363–66. Springer Link, doi:10.1007/s00705-015-2371-9.

Picornaviridae - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/neuroscience/picornaviridae. Accessed 5 Nov. 2020.

Parechovirus-like Virus PLV-CHN. https://www.genome.jp/virushostdb/1511785. Accessed 5 Nov. 2020.

Parechovirus-like Virus PLV-CHN - Encyclopedia of Life. https://eol.org/pages/51989853. Accessed 5 Nov. 2020.

Pasivirus ~ ViralZone Page. https://viralzone.expasy.org/4805. Accessed 5 Nov. 2020.

Taxonomy Browser (Root). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi. Accessed 5 Nov. 2020.

Yu, Jie-mei, et al. “Identification of a Novel Picornavirus in Healthy Piglets and Seroepidemiological Evidence of Its Presence in Humans.” PLOS ONE, vol. 8, no. 8, Aug. 2013, p. e70137. PLoS Journals, doi:10.1371/journal.pone.0070137."
"Fusarium solani virus 1",1511847,2,"species","Virus","RNA","ds","Unknown","Incongruent","","Yes","Animal Human Plant","Salma Benitez Sahera Fareha","TMD","Li, Pengfei, et al. “Mycoviruses in Fusarium Species: An Update.” Frontiers in Cellular and Infection Microbiology, vol. 9, July 2019. PubMed Central, doi:10.3389/fcimb.2019.00257. Li, Pengfei, et al. “Mycoviruses in Fusarium Species: An Update.” Frontiers in Cellular and Infection Microbiology, vol. 9, July 2019. PubMed Central, doi:10.3389/fcimb.2019.00257."
"Pinniped bocaparvovirus 1",1511869,3,"species","Virus","DNA","ss","Incongruent","Naked","Icosahedral","Incongruent","Animal","Sreevatshan Srinivasan Suriya Islam Styliana Maimos","TMD","Genus: Bocaparvovirus - Parvoviridae - SsDNA Viruses - ICTV. https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1041/genus-bocaparvovirus. Bocaparvovirus ~ ViralZone Page. https://viralzone.expasy.org/567. Accessed 20 Dec. 2020. Genus: Bocaparvovirus - Parvoviridae - SsDNA Viruses - ICTV. https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1041/genus-bocaparvovirus. Accessed 18 Dec. 2020."
"Ungulate copiparvovirus 2",1511890,2,"species","Virus","DNA","ss","Unknown","Incongruent","Icosahedral","Yes","Animal","Salma Benitez Ryan Feng","TMD","Cibulski, Samuel Paulo, et al. “Ungulate Copiparvovirus 1 (Bovine Parvovirus 2): Characterization of a New Genotype and Associated Viremia in Different Bovine Age Groups.” Virus Genes, vol. 52, no. 1, Feb. 2016, pp. 134–37. Springer Link, doi:10.1007/s11262-015-1266-x.

“Genus: Copiparvovirus - Parvoviridae - SsDNA Viruses.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1042/genus-copiparvovirus. Accessed 9 Nov. 2020.

Copiparvovirus ~ ViralZone Page. https://viralzone.expasy.org/4856. Accessed 9 Nov. 2020. Cibulski, S. P., Teixeira, T. F., dos Santos, H. F., de Sales Lima, F. E., Scheffer, C. M., Varela, A. P. M., … Roehe, P. M. (2015). Ungulate copiparvovirus 1 (bovine parvovirus 2): characterization of a new genotype and associated viremia in different bovine age groups. Virus Genes, 52(1), 134–137. doi:10.1007/s11262-015-1266-x 

Copiparvovirus ~ ViralZone Page. https://viralzone.expasy.org/4856. Accessed 8 Nov. 2020."
"Carnivore protoparvovirus 1",1511906,3,"species","Virus","DNA","ss","Unknown","Naked","Icosahedral","Yes","Animal Human","Aakanksha Kuwar Aasta Jane Beatrice Tuatis Aamna Arshad","TMD","Carnivore Protoparvovirus 1 Nonstructural Protein 1 (NS1) Gene. Carnivore Protoparvovirus 1. www.techne.com/docs/cppv_1.pdf. n/a"
"Human parvovirus 4 G1",1511919,3,"no_rank","Virus","DNA","ss","Unknown","Naked","Icosahedral","Yes","Human","Aliyah Shari Alexis Mitelman Alia Codelia-Anjum","TMD","Human Parvovirus 4 G1. https://www.genome.jp/virushostdb/1511919. Accessed 10 Sept. 2020.

Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=NCBI%3A1511919. Accessed 10 Sept. 2020.

Lou, Sai, et al. “Molecular Characterization of the Newly Identified Human Parvovirus 4 in the Family Parvoviridae.” Virology, vol. 422, no. 1, Jan. 2012, pp. 59–69. PubMed Central, doi:10.1016/j.virol.2011.09.033. “Genus: Tetraparvovirus - Parvoviridae - SsDNA Viruses.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1046/genus-tetraparvovirus. Accessed 13 Sept. 2020.

Human Parvovirus 4 G1. https://www.genome.jp/virushostdb/1511919. Accessed 13 Sept. 2020.

Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Human%20parvovirus%204%20G1. Accessed 13 Sept. 2020.

Taxonomy Browser (Human Parvovirus 4 G1). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1511919. Accessed 13 Sept. 2020. IMG. https://img.jgi.doe.gov/cgi-bin/vr/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=638276256.

Jones, Morris S., et al. “New DNA Viruses Identified in Patients with Acute Viral Infection Syndrome.” Journal of Virology, vol. 79, no. 13, July 2005, pp. 8230–36. PubMed Central, doi:10.1128/JVI.79.13.8230-8236.2005."
"Dipteran brevidensovirus 1",1513193,1,"species","Virus","DNA","ss","","Naked","Icosahedral","Yes","Animal","Sidorela Reci","TMD","Agboli, Eric, et al. “Mosquito-Specific Viruses—Transmission and Interaction.” Viruses, vol. 11, no. 9, Sept. 2019. PubMed Central, doi:10.3390/v11090873.

Brevidensovirus ~ ViralZone Page. https://viralzone.expasy.org/569?outline=all_by_species. Accessed 6 Sept. 2020."
"Dipteran brevidensovirus 2",1513198,2,"species","Virus","DNA","ss","Negative_strand","Incongruent","Icosahedral","Incongruent","Animal","Kazi Muztabir Kaylin Camidge","TMD","“Brevihamaparvovirus.” Wikipedia, 10 May 2020. Wikipedia, https://en.wikipedia.org/w/index.php?title=Brevihamaparvovirus&oldid=955971952.
Dipteran Brevidensovirus 2. https://www.wikidata.org/wiki/Q18973586. Accessed 7 Aug. 2020.
“Genus: Brevidensovirus - Parvoviridae - SsDNA Viruses.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1050/genus-brevidensovirus. Accessed 7 Aug. 2020. Agboli, Eric, et al. “Mosquito-Specific Viruses—Transmission and Interaction.” Viruses, vol. 11, no. 9, Sept. 2019, p. 873. www.mdpi.com, doi:10.3390/v11090873.

Viruses, International Committee on Taxonomy of, editor. ICTV Master Species List 2016 v1.3. 2017."
"Hepandensovirus",1513201,3,"genus","Virus","DNA","ss","Negative_strand","Naked","Icosahedral","Yes","Animal","Tongtong Gu Tina Rozbiani Thaira Ahmed","TMD","Cotmore, S. F., and P. Tattersall. “Parvoviridae: General Features☆.” Reference Module in Biomedical Sciences, Elsevier, 2014, p. B9780128012383027000. DOI.org (Crossref), doi:10.1016/B978-0-12-801238-3.02641-6.
Hepandensovirus ~ ViralZone Page. https://viralzone.expasy.org/4876?outline=all_by_species. Accessed 8 Nov. 2020.
Walsh, Ramona, et al. “Genomic Heterogeneity and Prevalence of Hepandensovirus in Penaeus Esculentus from Western Australia, and P. Merguiensis from the Gulf of Carpentaria, Australia.” Aquaculture, vol. 471, Mar. 2017, pp. 43–48. DOI.org (Crossref), doi:10.1016/j.aquaculture.2017.01.006. Hepandensovirus ~ ViralZone Page. https://viralzone.expasy.org/4876. Accessed 4 Nov. 2020.
Kibenge, F. S. B. “Chapter 28 - Parvoviruses of Crustaceans.” Aquaculture Virology, edited by Frederick S. B. Kibenge and Marcos G. Godoy, Academic Press, 2016, p. 417. ScienceDirect, doi:10.1016/B978-0-12-801573-5.00028-0. “Genus: Hepandensovirus - Parvoviridae - SsDNA Viruses.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1051/genus-hepandensovirus. Accessed 15 Nov. 2020.
Hepandensovirus ~ ViralZone Page. https://viralzone.expasy.org/4876. Accessed 15 Nov. 2020."
"Penaeus monodon hepandensovirus 2",1513206,2,"no_rank","Virus","DNA","ss","","Incongruent","Icosahedral","Yes","Animal","Aisha Abid Alba Trepca","TMD","Genus: Hepandensovirus - Parvoviridae - SsDNA Viruses - ICTV. https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1051/genus-hepandensovirus. Accessed 2 Dec. 2020. Taxonomy Browser (Penaeus Monodon Hepandensovirus 2). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=1513206&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 7 Dec. 2020

Hepandensovirus ~ ViralZone Page. https://viralzone.expasy.org/4876. Accessed 7 Dec. 2020

Penaeus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/immunology-and-microbiology/penaeus. Accessed 7 Dec. 2020"
"Penaeus stylirostris penstyldensovirus 1",1513225,2,"no_rank","Virus","DNA","Incongruent","Unknown","Unknown","","Incongruent","Animal","Guozhang Liang Ibrahim Rumi","TMD","- https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=1513225
- https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1053/genus-penstyldensovirus
- GJ;, C. (n.d.). Real-time PCR tests to specifically detect IHHNV lineages and an IHHNV EVE integrated in the genome of Penaeus monodon. Retrieved December 29, 2020, from https://pubmed.ncbi.nlm.nih.gov/29972375/ Genus: Penstyldensovirus - Parvoviridae - SsDNA Viruses - ICTV. https://talk.ictvonline.org/ictv-reports/ictv_online_report/ssdna-viruses/w/parvoviridae/1053/genus-penstyldensovirus. Accessed 18 Jan. 2021."
"Dyolambdapapillomavirus",1513239,1,"genus","Virus","DNA","ds","Negative_strand","Naked","Icosahedral","Yes","Animal","Justyna Kadyszewska","TMD","Papillomaviridae - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/neuroscience/papillomaviridae. Accessed 22 Sept. 2020.

Tse, Herman, et al. “Identification of a Novel Bat Papillomavirus by Metagenomics.” PLoS ONE, vol. 7, no. 8, Aug. 2012. PubMed Central, doi:10.1371/journal.pone.0043986."
"Dyorhopapillomavirus",1513244,3,"genus","Virus","DNA","ds","Unknown","Naked","Icosahedral","Yes","Animal","Aliyah Shari Alia Codelia-Anjum Alexis Mitelman","TMD","Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Dyorhopapillomavirus. Accessed 11 Sept. 2020.

Dyorhopapillomavirus ~ ViralZone Page. https://viralzone.expasy.org/6611. Accessed 11 Sept. 2020. IMG. https://img.jgi.doe.gov/cgi-bin/vr/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2595698301.

Lange, Christian E., et al. “Four Novel Papillomavirus Sequences Support a Broad Diversity among Equine Papillomaviruses.” Journal of General Virology, vol. 94, no. 6, June 2013, pp. 1365–72. DOI.org (Crossref), doi:10.1099/vir.0.052092-0.

NCBI Virus. https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/virus?SeqType_s=Nucleotide&VirusLineage_ss=Dyorhopapillomavirus,%20taxid:1513244. Dyorhopapillomavirus ~ ViralZone Page. https://viralzone.expasy.org/6611. Accessed 13 Sept. 2020.
“Genus: Dyorhopapillomavirus - Papillomaviridae - DsDNA 

Viruses.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/dsdna-viruses/w/papillomaviridae/934/genus-dyorhopapillomavirus. Accessed 13 Sept. 2020."
